,Name,Online_Order,Book_Table,Rating,Votes,Location,Rest_Type,Dish_Liked,Cuisines,Approx_Cost,Type
12353,Skoolroom,Yes,No,4.3,569,Ulsoor,Cafe,"Chocolate Overload, Burgers, Pasta, Peri Peri Chicken Pizza, Peri Peri Chicken Burger, Momos, Freak Shake","Cafe, Continental, Italian, Burger, Beverages",700,NA
12355,Lakeview Milkbar,No,No,4,1445,MG Road,"Dessert Parlor, Cafe","Butterscotch Ice Cream, Sandwiches, Milk Shake, Brownie, Hot Chocolate Fudge, Vanilla Ice Cream, Burgers","Desserts, Cafe, Fast Food",500,Cafes
12358,The Souk,Yes,No,3.7,66,Ulsoor,Cafe,"Mediterranean Platter, Brownie, Pasta, Burgers, Cheesy Garlic Bread, Steak","Cafe, Mediterranean, Italian, Pizza, Continental",800,Cafes
12362,Happy Belly Bakes,Yes,No,4.2,116,MG Road,"Cafe, Bakery","Hot Chocolate, Waffles, Brownie, Chicken Pizza, Tea, Chocolate Cupcake, Pasta","Cafe, Bakery",500,Cafes
12368,Urban Solace - Caffor the Soul,Yes,No,3.9,462,Ulsoor,"Cafe, Casual Dining","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish","Cafe, American, Continental, Steak",800,Cafes
12369,Soul Cafe,No,Yes,3.9,314,MG Road,Cafe,"Mocktails, Peri Peri Chicken, Coffee Hazelnut, Oreo Shake, Nachos, White Sauce Pasta, Beer","Cafe, Continental, Italian",800,Cafes
12375,Cafe Cerrise,Yes,No,3.8,96,Ulsoor,Cafe,"Bannoffee Pie, Pasta, Sandwiches, Salsa, Sandwich, Salads, Pita Bread","Cafe, Continental, Salad",600,Cafes
12376,Gobble Up Churros Cafe,Yes,No,3.8,37,Ulsoor,Casual Dining,"Churros, Empanadas","Beverages, Cafe, Desserts, Spanish, Bakery",400,Cafes
12384,Hashtag Cafe,No,No,2.8,44,Brigade Road,Cafe,NA,"Cafe, Continental, European, Italian",700,Cafes
12387,Bon Sante,Yes,No,3.6,104,Brigade Road,Cafe,"Burgers, Sandwiches, Fries, Pasta, Tea, Chicken Curry, Fried Rice","Cafe, Continental, Italian",800,Cafes
12392,Berrylicious Cafe,Yes,No,4.1,125,MG Road,"Casual Dining, Cafe","Waffles, Sandwiches, Nachos, Burgers, Chicken Keema Pizza, Penne Pasta, Smoothie Bowl","Continental, Cafe, Desserts, Pizza, North Indian, Chinese, Ice Cream",900,Cafes
12405,Dolci Desserts,Yes,No,4.3,655,Cunningham Road,"Cafe, Dessert Parlor","Cappuccino, Eclair, Pizza, Coffee, Blueberry Cheesecake, Oreo Cheesecake, Tiramisu","Cafe, Desserts",750,Cafes
12406,Step Right Up,Yes,No,4.1,153,Vasanth Nagar,Cafe,"Burgers, Peri Peri Fries, Exotic Pizza, Sandwiches, Veggie Pizza, White Sauce Pasta, French Fries","Cafe, Italian",300,Cafes
12408,Mudpipe Cafe,Yes,No,4.2,740,Cunningham Road,Cafe,"Sandwiches, Lemonade, Nachos, Mozzarella Sticks, Fries, Pasta, Pizza","Cafe, Continental, Italian, Burger",750,Cafes
12409,The Courtyard,No,Yes,3.9,297,Shanti Nagar,Cafe,"Hot Chocolate, Sandwiches, Garden Pizza, Pasta, Cappuccino, Garlic Bread, Sunday Morning Breakfast","Cafe, Italian",750,Cafes
12414,Bangalore Masala House,Yes,No,4.2,255,Vasanth Nagar,Cafe,"Peri Peri Chicken, Shikanji, Peri Peri Pizza, Burgers, Steak, Bun Maskas, Pasta","Cafe, Continental, Fast Food",500,Cafes
12421,Behrouz Biryani,Yes,No,4.1,128,Vasanth Nagar,Delivery,"Raita, Gosht Dum Biryani, Dum Ghost Biryani, Paneer Biryani",Biryani,650,Delivery
12422,Eat At Nite,Yes,No,3.1,57,Frazer Town,"Takeaway, Delivery","Fried Rice, Biryani","North Indian, Chinese, Rolls",400,NA
